Source,Dataset name,Dataset Tag,Dataset save name,Done?,Link,Probe from,Probe to,Data type,Notes,,,# continuous,# multiclass,# binary,,Lot of data here,,,,,
,,temp_cat,cleaned_data/43_temp_cat.csv,Yes,,,category,Multiclass Classification,,,,,,,,,,,,,
Rogers et al. [2020],Physical reasoning,phys_tf,cleaned_data/44_phys_tf.csv,Yes,https://github.com/ybisk/ybisk.github.io/blob/master/piqa/data/train.jsonl,"question | answer1,2",1/2,Binary Classification,,,,,,,,,,,,,
Rogers et al. [2020],Contextual reasoning,context_ans,cleaned_data/45_context_ans.csv,Yes,https://huggingface.co/datasets/textmachinelab/quail?row=21,Context | Question |answers,correct choice,Multiclass Classification,These are LONG questions (bc they have context),,,,,,,,,,,,
,,context_type,cleaned_data/46_context_type.csv,Yes,,question,category,Multiclass Classification,,,,,,,,,,,,,
Tafjord et al. [2019],Reasoning,reasoning_tf,cleaned_data/47_reasoning_tf.csv,Yes,https://huggingface.co/datasets/allenai/quartz?row=3,Question | answers,A/B,Binary Classification,,,,,,,,,,,,,
Hendrycks et al. [2020],Common Sense,cm_correct,cleaned_data/48_cm_correct.csv,Yes,https://github.com/hendrycks/ethics,statement,label,Binary Classification,,,,,,,,,,,,,
,,cm_isshort,cleaned_data/49_cm_isshort.csv,Yes,,,isshort,Binary Classification,,,,,,,,,,,,,
,Deontology,deon_isvalid,cleaned_data/50_deon_isvalid.csv,Yes,^,scenario | excuse,valid,Binary Classification,,,,,,,,,,,,,
,Justice,just_is,cleaned_data/51_just_is.csv,Yes,^,statement,label,Binary Classification,,,,,,,,,,,,,
,Virtue,virtue_is,cleaned_data/52_virtue_is.csv,Yes,^,Statemet (with one word label),fitting yes/no,Binary Classification,,,,,,,,,,,,,
,utilitarianism,,cleaned_data/53_.csv,,?,?,?,None,Dont get how to do this but Leo Gao used it,,,,,,,,,,,,
Talmor et al. [2022],Commonsense,cs_tf,cleaned_data/54_cs_tf.csv,Yes,https://huggingface.co/datasets/tasksource/commonsense_qa_2.0?row=4,statement,t/f,Binary Classification,,,,,,,,,,,,,
Mihaylov et al. [2018],OpenBookQA,open_qa,cleaned_data/55_open_qa.csv,Yes,https://leaderboard.allenai.org/open_book_qa/submissions/get-started,statement w answers,correct answer,Multiclass Classification,,,,,,,,,,,,,
Wes,wikidata_sex_or_gender,wikidatasex_or_gender,cleaned_data/56_wikidatasex_or_gender.csv,Yes,https://www.dropbox.com/scl/fo/14oxabm2eq47bkw2u0oxo/AKFTcikvAB8-GVdoBztQHxE?rlkey=u9qny1tsza6lqetzzua3jr8xn&e=1&dl=0,statement,t/f,Binary Classification,,,,,,,,,,,,,
,wikidata_isalive,wikidatais_alive,cleaned_data/57_wikidatais_alive.csv,Yes,^,^,^,Binary Classification,,,,,,,,,,,,,
,wikidata_political_party,wikidatapolitical_party,cleaned_data/58_wikidatapolitical_party.csv,Yes,^,^,^,Binary Classification,,,,,,,,,,,,,
,wikidata_occupation_isjournalist,wikidata_occupation_isjournalist,cleaned_data/59_wikidata_occupation_isjournalist.csv,Yes,^,^,^,Binary Classification,,,,,,,,,,,,,
,wikidata_occupation_isathlete,wikidata_occupation_isathlete,cleaned_data/60_wikidata_occupation_isathlete.csv,Yes,^,^,^,Binary Classification,,,,,,,,,,,,,
,wikidata_occupation_isactor,wikidata_occupation_isactor,cleaned_data/61_wikidata_occupation_isactor.csv,Yes,^,^,^,Binary Classification,,,,,,,,,,,,,
,wikidata_occupation_ispolitician,wikidata_occupation_ispolitician,cleaned_data/62_wikidata_occupation_ispolitician.csv,Yes,^,^,^,Binary Classification,,,,,,,,,,,,,
,wikidata_occupation_issinger,wikidata_occupation_issinger,cleaned_data/63_wikidata_occupation_issinger.csv,Yes,^,^,^,Binary Classification,,,,,,,,,,,,,
